asv	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_19357	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseicitreum	NA
ASV_19358	Bacteria	Cyanobacteria	Cyanobacteriia	Leptolyngbyales	Leptolyngbyaceae	MTP1	NA
ASV_19359	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	NA	NA
ASV_19360	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_19361	Bacteria	NA	NA	NA	NA	NA	NA
ASV_19362	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	Longivirga	NA
ASV_19363	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_19364	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	NA	NA	NA
ASV_19365	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	NA	NA	NA
ASV_19366	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	NA	NA	NA
ASV_19367	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_19368	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_19369	Bacteria	NA	NA	NA	NA	NA	NA
ASV_19370	Bacteria	NA	NA	NA	NA	NA	NA
ASV_19371	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	NA	NA	NA
ASV_19372	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	NA
ASV_19373	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	NA
ASV_19374	Bacteria	Patescibacteria	Parcubacteria	Candidatus Kaiserbacteria	NA	NA	NA
ASV_19375	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	NA	NA
ASV_19376	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	NA	NA	NA
ASV_19377	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	NA	NA	NA
ASV_19378	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	NA	NA
ASV_19379	Bacteria	NA	NA	NA	NA	NA	NA
ASV_19380	Bacteria	NA	NA	NA	NA	NA	NA
ASV_19381	Bacteria	NA	NA	NA	NA	NA	NA
ASV_19382	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_19383	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_19384	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	NA	NA
ASV_19385	Bacteria	NA	NA	NA	NA	NA	NA
ASV_19386	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_19387	Bacteria	NA	NA	NA	NA	NA	NA
ASV_19388	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_19389	Bacteria	NA	NA	NA	NA	NA	NA
ASV_19390	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS 17	NA	NA
ASV_19391	Bacteria	Cyanobacteria	Vampirivibrionia	Gastranaerophilales	NA	NA	NA
ASV_19392	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_19393	Bacteria	Desulfobacterota	NA	NA	NA	NA	NA
ASV_19394	Bacteria	Chloroflexi	SHA-26	NA	NA	NA	NA
ASV_19395	Bacteria	Patescibacteria	Parcubacteria	Candidatus Moranbacteria	NA	NA	NA
ASV_19396	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_19397	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_19398	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_19399	Bacteria	NA	NA	NA	NA	NA	NA
ASV_19400	Bacteria	NA	NA	NA	NA	NA	NA
ASV_19401	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_19402	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
ASV_19403	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV_19404	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylotenera	NA
ASV_19405	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_19406	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Gottschalkia	NA	NA
ASV_19407	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_19408	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
ASV_19409	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_19410	Bacteria	NA	NA	NA	NA	NA	NA
ASV_19411	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	NA	NA	NA
ASV_19412	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
ASV_19413	Bacteria	NA	NA	NA	NA	NA	NA
ASV_19414	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_19415	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	NA	NA	NA
ASV_19416	Bacteria	NA	NA	NA	NA	NA	NA
ASV_19417	Bacteria	NA	NA	NA	NA	NA	NA
ASV_19418	Bacteria	NA	NA	NA	NA	NA	NA
ASV_19419	Bacteria	NA	NA	NA	NA	NA	NA
ASV_19420	NA	NA	NA	NA	NA	NA	NA
ASV_19421	Bacteria	NA	NA	NA	NA	NA	NA
ASV_19422	Bacteria	NA	NA	NA	NA	NA	NA
ASV_19423	NA	NA	NA	NA	NA	NA	NA
ASV_19424	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	NA	NA
ASV_19425	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	NA
ASV_19426	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	NA	NA
ASV_19427	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_19428	Bacteria	Verrucomicrobiota	Lentisphaeria	Oligosphaerales	Lenti-02	NA	NA
ASV_19429	Bacteria	Patescibacteria	ABY1	Candidatus Falkowbacteria	NA	NA	NA
