lake	month	origin	lake_origin	replicate	samples	month_full	Temperature_median	Salinity_median	Oxygen_median	pH_median	Chla_median	PROK_1_median	PROK_2_median	LARGE_CELLS_median	VLP_TOT_median	CELLS_TOT_median	TPN	TPC	TPC.TPN	Secchi	NH4	PO4	NO3_N02
CTL.B.PER.GUT10	CTL	B	PER	CTL_PER	GUT10	CTL-B-PER-GUT10	July	25.2	0.7	165	8.6	16.18	1.7e+09	1298285.71428571	179142.857142857	15280571.4285714	3171428.57142857	0.1430612	1.0725416	7.4970823675462	1.8	4.751102608	0.023	36.006
CTL.B.PER.GUT1	CTL	B	PER	CTL_PER	GUT1	CTL-B-PER-GUT1	July	25.2	0.7	165	8.6	16.18	1.7e+09	1298285.71428571	179142.857142857	15280571.4285714	3171428.57142857	0.1430612	1.0725416	7.4970823675462	1.8	4.751102608	0.023	36.006
CTL.B.PER.GUT2	CTL	B	PER	CTL_PER	GUT2	CTL-B-PER-GUT2	July	25.2	0.7	165	8.6	16.18	1.7e+09	1298285.71428571	179142.857142857	15280571.4285714	3171428.57142857	0.1430612	1.0725416	7.4970823675462	1.8	4.751102608	0.023	36.006
CTL.B.GAR.GUT9	CTL	B	LEP	CTL_LEP	GUT9	CTL-B-GAR-GUT9	July	25.2	0.7	165	8.6	16.18	1.7e+09	1298285.71428571	179142.857142857	15280571.4285714	3171428.57142857	0.1430612	1.0725416	7.4970823675462	1.8	4.751102608	0.023	36.006
CTL.B.PER.GUT4	CTL	B	PER	CTL_PER	GUT4	CTL-B-PER-GUT4	July	25.2	0.7	165	8.6	16.18	1.7e+09	1298285.71428571	179142.857142857	15280571.4285714	3171428.57142857	0.1430612	1.0725416	7.4970823675462	1.8	4.751102608	0.023	36.006
CTL.B.PER.GUT5	CTL	B	PER	CTL_PER	GUT5	CTL-B-PER-GUT5	July	25.2	0.7	165	8.6	16.18	1.7e+09	1298285.71428571	179142.857142857	15280571.4285714	3171428.57142857	0.1430612	1.0725416	7.4970823675462	1.8	4.751102608	0.023	36.006
CTL.B.PER.GUT6	CTL	B	PER	CTL_PER	GUT6	CTL-B-PER-GUT6	July	25.2	0.7	165	8.6	16.18	1.7e+09	1298285.71428571	179142.857142857	15280571.4285714	3171428.57142857	0.1430612	1.0725416	7.4970823675462	1.8	4.751102608	0.023	36.006
CTL.B.PER.GUT7	CTL	B	PER	CTL_PER	GUT7	CTL-B-PER-GUT7	July	25.2	0.7	165	8.6	16.18	1.7e+09	1298285.71428571	179142.857142857	15280571.4285714	3171428.57142857	0.1430612	1.0725416	7.4970823675462	1.8	4.751102608	0.023	36.006
CTL.B.PER.GUT8	CTL	B	PER	CTL_PER	GUT8	CTL-B-PER-GUT8	July	25.2	0.7	165	8.6	16.18	1.7e+09	1298285.71428571	179142.857142857	15280571.4285714	3171428.57142857	0.1430612	1.0725416	7.4970823675462	1.8	4.751102608	0.023	36.006
CTL.B.PER.GUT9	CTL	B	PER	CTL_PER	GUT9	CTL-B-PER-GUT9	July	25.2	0.7	165	8.6	16.18	1.7e+09	1298285.71428571	179142.857142857	15280571.4285714	3171428.57142857	0.1430612	1.0725416	7.4970823675462	1.8	4.751102608	0.023	36.006
CTL.B.W1.ADN1	CTL	B	WATER	CTL_WATER	W1	CTL-B-W1-ADN1	July	25.2	0.7	165	8.6	16.18	1.7e+09	1298285.71428571	179142.857142857	15280571.4285714	3171428.57142857	0.1430612	1.0725416	7.4970823675462	1.8	4.751102608	0.023	36.006
CTL.B.W2.ADN1	CTL	B	WATER	CTL_WATER	W2	CTL-B-W2-ADN1	July	25.2	0.7	165	8.6	16.18	1.7e+09	1298285.71428571	179142.857142857	15280571.4285714	3171428.57142857	0.1430612	1.0725416	7.4970823675462	1.8	4.751102608	0.023	36.006
CTL.B.W2.SED1	CTL	B	SED	CTL_SED	SED1	CTL-B-W2-SED1	July	25.2	0.7	165	8.6	16.18	1.7e+09	1298285.71428571	179142.857142857	15280571.4285714	3171428.57142857	0.1430612	1.0725416	7.4970823675462	1.8	4.751102608	0.023	36.006
CTL.B.W3.ADN1	CTL	B	WATER	CTL_WATER	W3	CTL-B-W3-ADN1	July	25.2	0.7	165	8.6	16.18	1.7e+09	1298285.71428571	179142.857142857	15280571.4285714	3171428.57142857	0.1430612	1.0725416	7.4970823675462	1.8	4.751102608	0.023	36.006
CTL.B.GAR.GUT1	CTL	B	LEP	CTL_LEP	GUT1	CTL-B-GAR-GUT1	July	25.2	0.7	165	8.6	16.18	1.7e+09	1298285.71428571	179142.857142857	15280571.4285714	3171428.57142857	0.1430612	1.0725416	7.4970823675462	1.8	4.751102608	0.023	36.006
CTL.B.GAR.GUT2	CTL	B	LEP	CTL_LEP	GUT2	CTL-B-GAR-GUT2	July	25.2	0.7	165	8.6	16.18	1.7e+09	1298285.71428571	179142.857142857	15280571.4285714	3171428.57142857	0.1430612	1.0725416	7.4970823675462	1.8	4.751102608	0.023	36.006
CTL.B.PER.GUT3	CTL	B	PER	CTL_PER	GUT3	CTL-B-PER-GUT3	July	25.2	0.7	165	8.6	16.18	1.7e+09	1298285.71428571	179142.857142857	15280571.4285714	3171428.57142857	0.1430612	1.0725416	7.4970823675462	1.8	4.751102608	0.023	36.006
CTL.B.GAR.GUT10	CTL	B	LEP	CTL_LEP	GUT10	CTL-B-GAR-GUT10	July	25.2	0.7	165	8.6	16.18	1.7e+09	1298285.71428571	179142.857142857	15280571.4285714	3171428.57142857	0.1430612	1.0725416	7.4970823675462	1.8	4.751102608	0.023	36.006
CTL.B.GAR.GUT5	CTL	B	LEP	CTL_LEP	GUT5	CTL-B-GAR-GUT5	July	25.2	0.7	165	8.6	16.18	1.7e+09	1298285.71428571	179142.857142857	15280571.4285714	3171428.57142857	0.1430612	1.0725416	7.4970823675462	1.8	4.751102608	0.023	36.006
CTL.B.GAR.GUT3	CTL	B	LEP	CTL_LEP	GUT3	CTL-B-GAR-GUT3	July	25.2	0.7	165	8.6	16.18	1.7e+09	1298285.71428571	179142.857142857	15280571.4285714	3171428.57142857	0.1430612	1.0725416	7.4970823675462	1.8	4.751102608	0.023	36.006
CTL.B.GAR.GUT4	CTL	B	LEP	CTL_LEP	GUT4	CTL-B-GAR-GUT4	July	25.2	0.7	165	8.6	16.18	1.7e+09	1298285.71428571	179142.857142857	15280571.4285714	3171428.57142857	0.1430612	1.0725416	7.4970823675462	1.8	4.751102608	0.023	36.006
GDP.B.GAR.GUT1	GDP	B	LEP	GDP_LEP	GUT1	GDP-B-GAR-GUT1	July	23.5	0	130	8.6	41.57	519238.095238095	285714.285714286	33142.8571428571	9312761.9047619	798476.190476191	0.1332916	0.8831636	6.62580087567409	1.25	0.812688604	0.036	43.084
GDP.B.GAR.GUT10	GDP	B	LEP	GDP_LEP	GUT10	GDP-B-GAR-GUT10	July	23.5	0	130	8.6	41.57	519238.095238095	285714.285714286	33142.8571428571	9312761.9047619	798476.190476191	0.1332916	0.8831636	6.62580087567409	1.25	0.812688604	0.036	43.084
GDP.B.W2.SED1	GDP	B	SED	GDP_SED	SED1	GDP-B-W2-SED1	July	23.5	0	130	8.6	41.57	519238.095238095	285714.285714286	33142.8571428571	9312761.9047619	798476.190476191	0.1332916	0.8831636	6.62580087567409	1.25	0.812688604	0.036	43.084
GDP.B.W3.ADN1	GDP	B	WATER	GDP_WATER	W3	GDP-B-W3-ADN1	July	23.5	0	130	8.6	41.57	519238.095238095	285714.285714286	33142.8571428571	9312761.9047619	798476.190476191	0.1332916	0.8831636	6.62580087567409	1.25	0.812688604	0.036	43.084
GDP.B.PER.GUT10	GDP	B	PER	GDP_PER	GUT10	GDP-B-PER-GUT10	July	23.5	0	130	8.6	41.57	519238.095238095	285714.285714286	33142.8571428571	9312761.9047619	798476.190476191	0.1332916	0.8831636	6.62580087567409	1.25	0.812688604	0.036	43.084
GDP.B.PER.GUT1	GDP	B	PER	GDP_PER	GUT1	GDP-B-PER-GUT1	July	23.5	0	130	8.6	41.57	519238.095238095	285714.285714286	33142.8571428571	9312761.9047619	798476.190476191	0.1332916	0.8831636	6.62580087567409	1.25	0.812688604	0.036	43.084
GDP.B.PER.GUT2	GDP	B	PER	GDP_PER	GUT2	GDP-B-PER-GUT2	July	23.5	0	130	8.6	41.57	519238.095238095	285714.285714286	33142.8571428571	9312761.9047619	798476.190476191	0.1332916	0.8831636	6.62580087567409	1.25	0.812688604	0.036	43.084
GDP.B.PER.GUT3	GDP	B	PER	GDP_PER	GUT3	GDP-B-PER-GUT3	July	23.5	0	130	8.6	41.57	519238.095238095	285714.285714286	33142.8571428571	9312761.9047619	798476.190476191	0.1332916	0.8831636	6.62580087567409	1.25	0.812688604	0.036	43.084
GDP.B.PER.GUT4	GDP	B	PER	GDP_PER	GUT4	GDP-B-PER-GUT4	July	23.5	0	130	8.6	41.57	519238.095238095	285714.285714286	33142.8571428571	9312761.9047619	798476.190476191	0.1332916	0.8831636	6.62580087567409	1.25	0.812688604	0.036	43.084
GDP.B.GAR.GUT2	GDP	B	LEP	GDP_LEP	GUT2	GDP-B-GAR-GUT2	July	23.5	0	130	8.6	41.57	519238.095238095	285714.285714286	33142.8571428571	9312761.9047619	798476.190476191	0.1332916	0.8831636	6.62580087567409	1.25	0.812688604	0.036	43.084
GDP.B.GAR.GUT3	GDP	B	LEP	GDP_LEP	GUT3	GDP-B-GAR-GUT3	July	23.5	0	130	8.6	41.57	519238.095238095	285714.285714286	33142.8571428571	9312761.9047619	798476.190476191	0.1332916	0.8831636	6.62580087567409	1.25	0.812688604	0.036	43.084
GDP.B.GAR.GUT4	GDP	B	LEP	GDP_LEP	GUT4	GDP-B-GAR-GUT4	July	23.5	0	130	8.6	41.57	519238.095238095	285714.285714286	33142.8571428571	9312761.9047619	798476.190476191	0.1332916	0.8831636	6.62580087567409	1.25	0.812688604	0.036	43.084
GDP.B.GAR.GUT5	GDP	B	LEP	GDP_LEP	GUT5	GDP-B-GAR-GUT5	July	23.5	0	130	8.6	41.57	519238.095238095	285714.285714286	33142.8571428571	9312761.9047619	798476.190476191	0.1332916	0.8831636	6.62580087567409	1.25	0.812688604	0.036	43.084
GDP.B.GAR.GUT6	GDP	B	LEP	GDP_LEP	GUT6	GDP-B-GAR-GUT6	July	23.5	0	130	8.6	41.57	519238.095238095	285714.285714286	33142.8571428571	9312761.9047619	798476.190476191	0.1332916	0.8831636	6.62580087567409	1.25	0.812688604	0.036	43.084
GDP.B.GAR.GUT7	GDP	B	LEP	GDP_LEP	GUT7	GDP-B-GAR-GUT7	July	23.5	0	130	8.6	41.57	519238.095238095	285714.285714286	33142.8571428571	9312761.9047619	798476.190476191	0.1332916	0.8831636	6.62580087567409	1.25	0.812688604	0.036	43.084
GDP.B.GAR.GUT8	GDP	B	LEP	GDP_LEP	GUT8	GDP-B-GAR-GUT8	July	23.5	0	130	8.6	41.57	519238.095238095	285714.285714286	33142.8571428571	9312761.9047619	798476.190476191	0.1332916	0.8831636	6.62580087567409	1.25	0.812688604	0.036	43.084
GDP.B.GAR.GUT9	GDP	B	LEP	GDP_LEP	GUT9	GDP-B-GAR-GUT9	July	23.5	0	130	8.6	41.57	519238.095238095	285714.285714286	33142.8571428571	9312761.9047619	798476.190476191	0.1332916	0.8831636	6.62580087567409	1.25	0.812688604	0.036	43.084
GDP.B.PER.GUT8	GDP	B	PER	GDP_PER	GUT8	GDP-B-PER-GUT8	July	23.5	0	130	8.6	41.57	519238.095238095	285714.285714286	33142.8571428571	9312761.9047619	798476.190476191	0.1332916	0.8831636	6.62580087567409	1.25	0.812688604	0.036	43.084
GDP.B.PER.GUT5	GDP	B	PER	GDP_PER	GUT5	GDP-B-PER-GUT5	July	23.5	0	130	8.6	41.57	519238.095238095	285714.285714286	33142.8571428571	9312761.9047619	798476.190476191	0.1332916	0.8831636	6.62580087567409	1.25	0.812688604	0.036	43.084
GDP.B.PER.GUT6	GDP	B	PER	GDP_PER	GUT6	GDP-B-PER-GUT6	July	23.5	0	130	8.6	41.57	519238.095238095	285714.285714286	33142.8571428571	9312761.9047619	798476.190476191	0.1332916	0.8831636	6.62580087567409	1.25	0.812688604	0.036	43.084
GDP.B.PER.GUT7	GDP	B	PER	GDP_PER	GUT7	GDP-B-PER-GUT7	July	23.5	0	130	8.6	41.57	519238.095238095	285714.285714286	33142.8571428571	9312761.9047619	798476.190476191	0.1332916	0.8831636	6.62580087567409	1.25	0.812688604	0.036	43.084
GDP.B.PER.GUT9	GDP	B	PER	GDP_PER	GUT9	GDP-B-PER-GUT9	July	23.5	0	130	8.6	41.57	519238.095238095	285714.285714286	33142.8571428571	9312761.9047619	798476.190476191	0.1332916	0.8831636	6.62580087567409	1.25	0.812688604	0.036	43.084
GDP.B.W1.ADN1	GDP	B	WATER	GDP_WATER	W1	GDP-B-W1-ADN1	July	23.5	0	130	8.6	41.57	519238.095238095	285714.285714286	33142.8571428571	9312761.9047619	798476.190476191	0.1332916	0.8831636	6.62580087567409	1.25	0.812688604	0.036	43.084
GDP.B.W2.ADN1	GDP	B	WATER	GDP_WATER	W2	GDP-B-W2-ADN1	July	23.5	0	130	8.6	41.57	519238.095238095	285714.285714286	33142.8571428571	9312761.9047619	798476.190476191	0.1332916	0.8831636	6.62580087567409	1.25	0.812688604	0.036	43.084
JAB.B.GAR.GUT10	JAB	B	LEP	JAB_LEP	GUT10	JAB-B-GAR-GUT10	July	22.2	0.5	107	8.2	2.23	917428.571428571	840285.714285714	117142.857142857	12013714.2857143	1874857.14285714	0.0488868	0.3365756	6.88479507760786	4.6	0.6470968	0.089	32.0955
JAB.B.GAR.GUT4	JAB	B	LEP	JAB_LEP	GUT4	JAB-B-GAR-GUT4	July	22.2	0.5	107	8.2	2.23	917428.571428571	840285.714285714	117142.857142857	12013714.2857143	1874857.14285714	0.0488868	0.3365756	6.88479507760786	4.6	0.6470968	0.089	32.0955
JAB.B.GAR.GUT1	JAB	B	LEP	JAB_LEP	GUT1	JAB-B-GAR-GUT1	July	22.2	0.5	107	8.2	2.23	917428.571428571	840285.714285714	117142.857142857	12013714.2857143	1874857.14285714	0.0488868	0.3365756	6.88479507760786	4.6	0.6470968	0.089	32.0955
JAB.B.GAR.GUT2	JAB	B	LEP	JAB_LEP	GUT2	JAB-B-GAR-GUT2	July	22.2	0.5	107	8.2	2.23	917428.571428571	840285.714285714	117142.857142857	12013714.2857143	1874857.14285714	0.0488868	0.3365756	6.88479507760786	4.6	0.6470968	0.089	32.0955
JAB.B.GAR.GUT3	JAB	B	LEP	JAB_LEP	GUT3	JAB-B-GAR-GUT3	July	22.2	0.5	107	8.2	2.23	917428.571428571	840285.714285714	117142.857142857	12013714.2857143	1874857.14285714	0.0488868	0.3365756	6.88479507760786	4.6	0.6470968	0.089	32.0955
JAB.B.PER.GUT3	JAB	B	PER	JAB_PER	GUT3	JAB-B-PER-GUT3	July	22.2	0.5	107	8.2	2.23	917428.571428571	840285.714285714	117142.857142857	12013714.2857143	1874857.14285714	0.0488868	0.3365756	6.88479507760786	4.6	0.6470968	0.089	32.0955
JAB.B.PER.GUT5	JAB	B	PER	JAB_PER	GUT5	JAB-B-PER-GUT5	July	22.2	0.5	107	8.2	2.23	917428.571428571	840285.714285714	117142.857142857	12013714.2857143	1874857.14285714	0.0488868	0.3365756	6.88479507760786	4.6	0.6470968	0.089	32.0955
JAB.B.W1.ADN1	JAB	B	WATER	JAB_WATER	W1	JAB-B-W1-ADN1	July	22.2	0.5	107	8.2	2.23	917428.571428571	840285.714285714	117142.857142857	12013714.2857143	1874857.14285714	0.0488868	0.3365756	6.88479507760786	4.6	0.6470968	0.089	32.0955
JAB.B.W2.ADN1	JAB	B	WATER	JAB_WATER	W2	JAB-B-W2-ADN1	July	22.2	0.5	107	8.2	2.23	917428.571428571	840285.714285714	117142.857142857	12013714.2857143	1874857.14285714	0.0488868	0.3365756	6.88479507760786	4.6	0.6470968	0.089	32.0955
JAB.B.W2.SED1	JAB	B	SED	JAB_SED	SED1	JAB-B-W2-SED1	July	22.2	0.5	107	8.2	2.23	917428.571428571	840285.714285714	117142.857142857	12013714.2857143	1874857.14285714	0.0488868	0.3365756	6.88479507760786	4.6	0.6470968	0.089	32.0955
JAB.B.W3.ADN1	JAB	B	WATER	JAB_WATER	W3	JAB-B-W3-ADN1	July	22.2	0.5	107	8.2	2.23	917428.571428571	840285.714285714	117142.857142857	12013714.2857143	1874857.14285714	0.0488868	0.3365756	6.88479507760786	4.6	0.6470968	0.089	32.0955
JAB.B.GAR.GUT5	JAB	B	LEP	JAB_LEP	GUT5	JAB-B-GAR-GUT5	July	22.2	0.5	107	8.2	2.23	917428.571428571	840285.714285714	117142.857142857	12013714.2857143	1874857.14285714	0.0488868	0.3365756	6.88479507760786	4.6	0.6470968	0.089	32.0955
JAB.B.GAR.GUT6	JAB	B	LEP	JAB_LEP	GUT6	JAB-B-GAR-GUT6	July	22.2	0.5	107	8.2	2.23	917428.571428571	840285.714285714	117142.857142857	12013714.2857143	1874857.14285714	0.0488868	0.3365756	6.88479507760786	4.6	0.6470968	0.089	32.0955
JAB.B.GAR.GUT7	JAB	B	LEP	JAB_LEP	GUT7	JAB-B-GAR-GUT7	July	22.2	0.5	107	8.2	2.23	917428.571428571	840285.714285714	117142.857142857	12013714.2857143	1874857.14285714	0.0488868	0.3365756	6.88479507760786	4.6	0.6470968	0.089	32.0955
JAB.B.GAR.GUT8	JAB	B	LEP	JAB_LEP	GUT8	JAB-B-GAR-GUT8	July	22.2	0.5	107	8.2	2.23	917428.571428571	840285.714285714	117142.857142857	12013714.2857143	1874857.14285714	0.0488868	0.3365756	6.88479507760786	4.6	0.6470968	0.089	32.0955
JAB.B.GAR.GUT9	JAB	B	LEP	JAB_LEP	GUT9	JAB-B-GAR-GUT9	July	22.2	0.5	107	8.2	2.23	917428.571428571	840285.714285714	117142.857142857	12013714.2857143	1874857.14285714	0.0488868	0.3365756	6.88479507760786	4.6	0.6470968	0.089	32.0955
JAB.B.PER.GUT1	JAB	B	PER	JAB_PER	GUT1	JAB-B-PER-GUT1	July	22.2	0.5	107	8.2	2.23	917428.571428571	840285.714285714	117142.857142857	12013714.2857143	1874857.14285714	0.0488868	0.3365756	6.88479507760786	4.6	0.6470968	0.089	32.0955
JAB.B.PER.GUT2	JAB	B	PER	JAB_PER	GUT2	JAB-B-PER-GUT2	July	22.2	0.5	107	8.2	2.23	917428.571428571	840285.714285714	117142.857142857	12013714.2857143	1874857.14285714	0.0488868	0.3365756	6.88479507760786	4.6	0.6470968	0.089	32.0955
VAI.B.GAR.GUT10	VAI	B	LEP	VAI_LEP	GUT10	VAI-B-GAR-GUT10	July	23.9	0.1	120	8.6	3.98	1396571.42857143	1814571.42857143	152571.428571429	16500571.4285714	2771142.85714286	0.0460468	0.2963996	6.4369206980724	4.75	0.26808296	0.054	17.885
VAI.B.GAR.GUT1	VAI	B	LEP	VAI_LEP	GUT1	VAI-B-GAR-GUT1	July	23.9	0.1	120	8.6	3.98	1396571.42857143	1814571.42857143	152571.428571429	16500571.4285714	2771142.85714286	0.0460468	0.2963996	6.4369206980724	4.75	0.26808296	0.054	17.885
VAI.B.GAR.GUT2	VAI	B	LEP	VAI_LEP	GUT2	VAI-B-GAR-GUT2	July	23.9	0.1	120	8.6	3.98	1396571.42857143	1814571.42857143	152571.428571429	16500571.4285714	2771142.85714286	0.0460468	0.2963996	6.4369206980724	4.75	0.26808296	0.054	17.885
VAI.B.GAR.GUT3	VAI	B	LEP	VAI_LEP	GUT3	VAI-B-GAR-GUT3	July	23.9	0.1	120	8.6	3.98	1396571.42857143	1814571.42857143	152571.428571429	16500571.4285714	2771142.85714286	0.0460468	0.2963996	6.4369206980724	4.75	0.26808296	0.054	17.885
VAI.B.GAR.GUT4	VAI	B	LEP	VAI_LEP	GUT4	VAI-B-GAR-GUT4	July	23.9	0.1	120	8.6	3.98	1396571.42857143	1814571.42857143	152571.428571429	16500571.4285714	2771142.85714286	0.0460468	0.2963996	6.4369206980724	4.75	0.26808296	0.054	17.885
VAI.B.GAR.GUT5	VAI	B	LEP	VAI_LEP	GUT5	VAI-B-GAR-GUT5	July	23.9	0.1	120	8.6	3.98	1396571.42857143	1814571.42857143	152571.428571429	16500571.4285714	2771142.85714286	0.0460468	0.2963996	6.4369206980724	4.75	0.26808296	0.054	17.885
VAI.B.GAR.GUT6	VAI	B	LEP	VAI_LEP	GUT6	VAI-B-GAR-GUT6	July	23.9	0.1	120	8.6	3.98	1396571.42857143	1814571.42857143	152571.428571429	16500571.4285714	2771142.85714286	0.0460468	0.2963996	6.4369206980724	4.75	0.26808296	0.054	17.885
VAI.B.GAR.GUT7	VAI	B	LEP	VAI_LEP	GUT7	VAI-B-GAR-GUT7	July	23.9	0.1	120	8.6	3.98	1396571.42857143	1814571.42857143	152571.428571429	16500571.4285714	2771142.85714286	0.0460468	0.2963996	6.4369206980724	4.75	0.26808296	0.054	17.885
VAI.B.GAR.GUT8	VAI	B	LEP	VAI_LEP	GUT8	VAI-B-GAR-GUT8	July	23.9	0.1	120	8.6	3.98	1396571.42857143	1814571.42857143	152571.428571429	16500571.4285714	2771142.85714286	0.0460468	0.2963996	6.4369206980724	4.75	0.26808296	0.054	17.885
VAI.B.GAR.GUT9	VAI	B	LEP	VAI_LEP	GUT9	VAI-B-GAR-GUT9	July	23.9	0.1	120	8.6	3.98	1396571.42857143	1814571.42857143	152571.428571429	16500571.4285714	2771142.85714286	0.0460468	0.2963996	6.4369206980724	4.75	0.26808296	0.054	17.885
VAI.B.W1.ADN1	VAI	B	WATER	VAI_WATER	W1	VAI-B-W1-ADN1	July	23.9	0.1	120	8.6	3.98	1396571.42857143	1814571.42857143	152571.428571429	16500571.4285714	2771142.85714286	0.0460468	0.2963996	6.4369206980724	4.75	0.26808296	0.054	17.885
VAI.B.W2.ADN1	VAI	B	WATER	VAI_WATER	W2	VAI-B-W2-ADN1	July	23.9	0.1	120	8.6	3.98	1396571.42857143	1814571.42857143	152571.428571429	16500571.4285714	2771142.85714286	0.0460468	0.2963996	6.4369206980724	4.75	0.26808296	0.054	17.885
VAI.B.W2.SED1	VAI	B	SED	VAI_SED	SED1	VAI-B-W2-SED1	July	23.9	0.1	120	8.6	3.98	1396571.42857143	1814571.42857143	152571.428571429	16500571.4285714	2771142.85714286	0.0460468	0.2963996	6.4369206980724	4.75	0.26808296	0.054	17.885
VAI.B.W3.ADN1	VAI	B	WATER	VAI_WATER	W3	VAI-B-W3-ADN1	July	23.9	0.1	120	8.6	3.98	1396571.42857143	1814571.42857143	152571.428571429	16500571.4285714	2771142.85714286	0.0460468	0.2963996	6.4369206980724	4.75	0.26808296	0.054	17.885
VER.B.GAR.GUT10	VER	B	LEP	VER_LEP	GUT10	VER-B-GAR-GUT10	July	23.5	0.1	152	9	36.65	4245714.28571429	2057428.57142857	140285.714285714	51890285.7142857	6089428.57142857	0.1122756	0.7700876	6.8589043389659	1.9	0.5084332	3.417	26.837
VER.B.GAR.GUT1	VER	B	LEP	VER_LEP	GUT1	VER-B-GAR-GUT1	July	23.5	0.1	152	9	36.65	4245714.28571429	2057428.57142857	140285.714285714	51890285.7142857	6089428.57142857	0.1122756	0.7700876	6.8589043389659	1.9	0.5084332	3.417	26.837
VER.B.GAR.GUT2	VER	B	LEP	VER_LEP	GUT2	VER-B-GAR-GUT2	July	23.5	0.1	152	9	36.65	4245714.28571429	2057428.57142857	140285.714285714	51890285.7142857	6089428.57142857	0.1122756	0.7700876	6.8589043389659	1.9	0.5084332	3.417	26.837
VER.B.GAR.GUT3	VER	B	LEP	VER_LEP	GUT3	VER-B-GAR-GUT3	July	23.5	0.1	152	9	36.65	4245714.28571429	2057428.57142857	140285.714285714	51890285.7142857	6089428.57142857	0.1122756	0.7700876	6.8589043389659	1.9	0.5084332	3.417	26.837
VER.B.GAR.GUT4	VER	B	LEP	VER_LEP	GUT4	VER-B-GAR-GUT4	July	23.5	0.1	152	9	36.65	4245714.28571429	2057428.57142857	140285.714285714	51890285.7142857	6089428.57142857	0.1122756	0.7700876	6.8589043389659	1.9	0.5084332	3.417	26.837
VER.B.GAR.GUT5	VER	B	LEP	VER_LEP	GUT5	VER-B-GAR-GUT5	July	23.5	0.1	152	9	36.65	4245714.28571429	2057428.57142857	140285.714285714	51890285.7142857	6089428.57142857	0.1122756	0.7700876	6.8589043389659	1.9	0.5084332	3.417	26.837
VER.B.GAR.GUT6	VER	B	LEP	VER_LEP	GUT6	VER-B-GAR-GUT6	July	23.5	0.1	152	9	36.65	4245714.28571429	2057428.57142857	140285.714285714	51890285.7142857	6089428.57142857	0.1122756	0.7700876	6.8589043389659	1.9	0.5084332	3.417	26.837
VER.B.GAR.GUT7	VER	B	LEP	VER_LEP	GUT7	VER-B-GAR-GUT7	July	23.5	0.1	152	9	36.65	4245714.28571429	2057428.57142857	140285.714285714	51890285.7142857	6089428.57142857	0.1122756	0.7700876	6.8589043389659	1.9	0.5084332	3.417	26.837
VER.B.GAR.GUT8	VER	B	LEP	VER_LEP	GUT8	VER-B-GAR-GUT8	July	23.5	0.1	152	9	36.65	4245714.28571429	2057428.57142857	140285.714285714	51890285.7142857	6089428.57142857	0.1122756	0.7700876	6.8589043389659	1.9	0.5084332	3.417	26.837
VER.B.GAR.GUT9	VER	B	LEP	VER_LEP	GUT9	VER-B-GAR-GUT9	July	23.5	0.1	152	9	36.65	4245714.28571429	2057428.57142857	140285.714285714	51890285.7142857	6089428.57142857	0.1122756	0.7700876	6.8589043389659	1.9	0.5084332	3.417	26.837
VER.B.PER.GUT10	VER	B	PER	VER_PER	GUT10	VER-B-PER-GUT10	July	23.5	0.1	152	9	36.65	4245714.28571429	2057428.57142857	140285.714285714	51890285.7142857	6089428.57142857	0.1122756	0.7700876	6.8589043389659	1.9	0.5084332	3.417	26.837
VER.B.PER.GUT1	VER	B	PER	VER_PER	GUT1	VER-B-PER-GUT1	July	23.5	0.1	152	9	36.65	4245714.28571429	2057428.57142857	140285.714285714	51890285.7142857	6089428.57142857	0.1122756	0.7700876	6.8589043389659	1.9	0.5084332	3.417	26.837
VER.B.PER.GUT2	VER	B	PER	VER_PER	GUT2	VER-B-PER-GUT2	July	23.5	0.1	152	9	36.65	4245714.28571429	2057428.57142857	140285.714285714	51890285.7142857	6089428.57142857	0.1122756	0.7700876	6.8589043389659	1.9	0.5084332	3.417	26.837
VER.B.PER.GUT3	VER	B	PER	VER_PER	GUT3	VER-B-PER-GUT3	July	23.5	0.1	152	9	36.65	4245714.28571429	2057428.57142857	140285.714285714	51890285.7142857	6089428.57142857	0.1122756	0.7700876	6.8589043389659	1.9	0.5084332	3.417	26.837
VER.B.PER.GUT4	VER	B	PER	VER_PER	GUT4	VER-B-PER-GUT4	July	23.5	0.1	152	9	36.65	4245714.28571429	2057428.57142857	140285.714285714	51890285.7142857	6089428.57142857	0.1122756	0.7700876	6.8589043389659	1.9	0.5084332	3.417	26.837
VER.B.PER.GUT5	VER	B	PER	VER_PER	GUT5	VER-B-PER-GUT5	July	23.5	0.1	152	9	36.65	4245714.28571429	2057428.57142857	140285.714285714	51890285.7142857	6089428.57142857	0.1122756	0.7700876	6.8589043389659	1.9	0.5084332	3.417	26.837
VER.B.PER.GUT6	VER	B	PER	VER_PER	GUT6	VER-B-PER-GUT6	July	23.5	0.1	152	9	36.65	4245714.28571429	2057428.57142857	140285.714285714	51890285.7142857	6089428.57142857	0.1122756	0.7700876	6.8589043389659	1.9	0.5084332	3.417	26.837
VER.B.PER.GUT7	VER	B	PER	VER_PER	GUT7	VER-B-PER-GUT7	July	23.5	0.1	152	9	36.65	4245714.28571429	2057428.57142857	140285.714285714	51890285.7142857	6089428.57142857	0.1122756	0.7700876	6.8589043389659	1.9	0.5084332	3.417	26.837
