lake	month	origin	lake_origin	replicate	samples	month_full	Temperature_median	Salinity_median	Oxygen_median	pH_median	Chla_median	PROK_1_median	PROK_2_median	LARGE_CELLS_median	VLP_TOT_median	CELLS_TOT_median	TPN	TPC	TPC.TPN	Secchi	NH4	PO4	NO3_N02
CHA.B.GAR.GUT6	CHA	B	LEP	CHA_LEP	GUT6	CHA-B-GAR-GUT6	July	24.8	0.2	152	8.9	96.53	5842285.71428571	4431142.85714286	789714.285714286	79181142.8571429	11400285.7142857	0.403812	2.3764192	5.88496429031331	0.6	1.11855304	0.124	9.157
CHA.B.GAR.GUT7	CHA	B	LEP	CHA_LEP	GUT7	CHA-B-GAR-GUT7	July	24.8	0.2	152	8.9	96.53	5842285.71428571	4431142.85714286	789714.285714286	79181142.8571429	11400285.7142857	0.403812	2.3764192	5.88496429031331	0.6	1.11855304	0.124	9.157
CHA.B.GAR.GUT8	CHA	B	LEP	CHA_LEP	GUT8	CHA-B-GAR-GUT8	July	24.8	0.2	152	8.9	96.53	5842285.71428571	4431142.85714286	789714.285714286	79181142.8571429	11400285.7142857	0.403812	2.3764192	5.88496429031331	0.6	1.11855304	0.124	9.157
CHA.B.GAR.GUT9	CHA	B	LEP	CHA_LEP	GUT9	CHA-B-GAR-GUT9	July	24.8	0.2	152	8.9	96.53	5842285.71428571	4431142.85714286	789714.285714286	79181142.8571429	11400285.7142857	0.403812	2.3764192	5.88496429031331	0.6	1.11855304	0.124	9.157
CHA.B.PER.GUT10	CHA	B	PER	CHA_PER	GUT10	CHA-B-PER-GUT10	July	24.8	0.2	152	8.9	96.53	5842285.71428571	4431142.85714286	789714.285714286	79181142.8571429	11400285.7142857	0.403812	2.3764192	5.88496429031331	0.6	1.11855304	0.124	9.157
CHA.B.PER.GUT1	CHA	B	PER	CHA_PER	GUT1	CHA-B-PER-GUT1	July	24.8	0.2	152	8.9	96.53	5842285.71428571	4431142.85714286	789714.285714286	79181142.8571429	11400285.7142857	0.403812	2.3764192	5.88496429031331	0.6	1.11855304	0.124	9.157
CHA.B.PER.GUT2	CHA	B	PER	CHA_PER	GUT2	CHA-B-PER-GUT2	July	24.8	0.2	152	8.9	96.53	5842285.71428571	4431142.85714286	789714.285714286	79181142.8571429	11400285.7142857	0.403812	2.3764192	5.88496429031331	0.6	1.11855304	0.124	9.157
CHA.B.PER.GUT3	CHA	B	PER	CHA_PER	GUT3	CHA-B-PER-GUT3	July	24.8	0.2	152	8.9	96.53	5842285.71428571	4431142.85714286	789714.285714286	79181142.8571429	11400285.7142857	0.403812	2.3764192	5.88496429031331	0.6	1.11855304	0.124	9.157
CHA.B.PER.GUT4	CHA	B	PER	CHA_PER	GUT4	CHA-B-PER-GUT4	July	24.8	0.2	152	8.9	96.53	5842285.71428571	4431142.85714286	789714.285714286	79181142.8571429	11400285.7142857	0.403812	2.3764192	5.88496429031331	0.6	1.11855304	0.124	9.157
CHA.B.PER.GUT5	CHA	B	PER	CHA_PER	GUT5	CHA-B-PER-GUT5	July	24.8	0.2	152	8.9	96.53	5842285.71428571	4431142.85714286	789714.285714286	79181142.8571429	11400285.7142857	0.403812	2.3764192	5.88496429031331	0.6	1.11855304	0.124	9.157
CHA.B.PER.GUT6	CHA	B	PER	CHA_PER	GUT6	CHA-B-PER-GUT6	July	24.8	0.2	152	8.9	96.53	5842285.71428571	4431142.85714286	789714.285714286	79181142.8571429	11400285.7142857	0.403812	2.3764192	5.88496429031331	0.6	1.11855304	0.124	9.157
CHA.B.PER.GUT7	CHA	B	PER	CHA_PER	GUT7	CHA-B-PER-GUT7	July	24.8	0.2	152	8.9	96.53	5842285.71428571	4431142.85714286	789714.285714286	79181142.8571429	11400285.7142857	0.403812	2.3764192	5.88496429031331	0.6	1.11855304	0.124	9.157
CHA.B.PER.GUT8	CHA	B	PER	CHA_PER	GUT8	CHA-B-PER-GUT8	July	24.8	0.2	152	8.9	96.53	5842285.71428571	4431142.85714286	789714.285714286	79181142.8571429	11400285.7142857	0.403812	2.3764192	5.88496429031331	0.6	1.11855304	0.124	9.157
CHA.B.PER.GUT9	CHA	B	PER	CHA_PER	GUT9	CHA-B-PER-GUT9	July	24.8	0.2	152	8.9	96.53	5842285.71428571	4431142.85714286	789714.285714286	79181142.8571429	11400285.7142857	0.403812	2.3764192	5.88496429031331	0.6	1.11855304	0.124	9.157
CHA.B.W1.ADN1	CHA	B	WATER	CHA_WATER	W1	CHA-B-W1-ADN1	July	24.8	0.2	152	8.9	96.53	5842285.71428571	4431142.85714286	789714.285714286	79181142.8571429	11400285.7142857	0.403812	2.3764192	5.88496429031331	0.6	1.11855304	0.124	9.157
CHA.B.W2.ADN1	CHA	B	WATER	CHA_WATER	W2	CHA-B-W2-ADN1	July	24.8	0.2	152	8.9	96.53	5842285.71428571	4431142.85714286	789714.285714286	79181142.8571429	11400285.7142857	0.403812	2.3764192	5.88496429031331	0.6	1.11855304	0.124	9.157
