"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_3087","d__Bacteria","Firmicutes","Limnochordia","Limnochordia","Limnochordia","Hydrogenispora",NA
"ASV_3088","d__Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Sporichthyaceae","hgcI_clade","Candidatus_Nanopelagicus"
"ASV_3089","d__Bacteria","Verrucomicrobiota","Lentisphaeria","Victivallales","PRD18C08","PRD18C08","uncultured_bacterium"
"ASV_3090","d__Bacteria","Proteobacteria","Alphaproteobacteria","Tistrellales","Geminicoccaceae","Geminicoccus","uncultured_bacterium"
"ASV_3091","d__Archaea","Euryarchaeota","Thermococci","Methanofastidiosales","uncultured","uncultured","uncultured_archaeon"
"ASV_3092","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Rickettsia","Rickettsia_endosymbiont"
"ASV_3093","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","C2U","C2U","uncultured_bacterium"
"ASV_3094","d__Bacteria","Patescibacteria","Parcubacteria",NA,NA,NA,NA
"ASV_3095","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3096","d__Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","Ilumatobacter","uncultured_bacterium"
"ASV_3097","d__Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","LD29","uncultured_bacterium"
"ASV_3098","d__Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Vicinamibacteraceae","wastewater_metagenome"
"ASV_3099","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","Ellin6067",NA
"ASV_3100","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3101","d__Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","uncultured",NA
"ASV_3102","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"ASV_3103","d__Bacteria","Chloroflexi","Dehalococcoidia","GIF9","GIF9","GIF9","uncultured_bacterium"
"ASV_3104","d__Bacteria","Desulfobacterota","Syntrophobacteria","Syntrophobacterales","Syntrophobacteraceae","Syntrophobacter","uncultured_soil"
"ASV_3105","d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Porphyrobacter",NA
"ASV_3106","d__Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Nakamurellaceae","Nakamurella","Sanguibacter_sp."
"ASV_3107","d__Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae",NA,NA
"ASV_3108","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales","Helcococcus","Helcococcus_seattlensis"
"ASV_3109","d__Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus",NA
"ASV_3110","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3111","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","uncultured",NA
"ASV_3112","d__Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Phormidiaceae","Planktothrix_NIVA-CYA_15",NA
"ASV_3113","d__Bacteria","Bacteroidota","Kryptonia","Kryptoniales","BSV26","BSV26","uncultured_Chlorobi"
"ASV_3114","d__Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus",NA
"ASV_3115","d__Bacteria","Bacteroidota","SJA-28","SJA-28","SJA-28","SJA-28","uncultured_bacterium"
"ASV_3116","d__Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium","uncultured_bacterium"
"ASV_3117","d__Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","uncultured","uncultured_Chloroflexi"
"ASV_3118","d__Bacteria","Cyanobacteria","Vampirivibrionia","Gastranaerophilales","Gastranaerophilales","Gastranaerophilales","uncultured_bacterium"
"ASV_3119","d__Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae",NA,NA
"ASV_3120","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3121","d__Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae","Lentimicrobiaceae",NA
"ASV_3122","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3123","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","metagenome"
"ASV_3124","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","uncultured_bacterium"
"ASV_3125","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3126","d__Bacteria","Chloroflexi","Anaerolineae","SBR1031","SBR1031","SBR1031","metagenome"
"ASV_3127","d__Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus_Omnitrophus","uncultured_bacterium"
"ASV_3128","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae","uncultured","uncultured_soil"
"ASV_3129","d__Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage","uncultured_Pirellula"
"ASV_3130","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Lloydbacteria","Candidatus_Lloydbacteria","Candidatus_Lloydbacteria","uncultured_bacterium"
"ASV_3131","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3132","d__Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","uncultured","uncultured","uncultured_bacterium"
"ASV_3133","d__Bacteria","Cyanobacteria","Cyanobacteriia","Oxyphotobacteria_Incertae_Sedis","Unknown_Family","Leptolyngbya_ANT.L52.2","Leptolyngbya_sp."
"ASV_3134","d__Bacteria","WS2","WS2","WS2","WS2","WS2","uncultured_bacterium"
"ASV_3135","d__Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","Opitutus",NA
"ASV_3136","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","uncultured_bacterium"
"ASV_3137","d__Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Xenococcaceae","Pleurocapsa_PCC-7319",NA
"ASV_3138","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3139","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA,NA
"ASV_3140","d__Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula","uncultured_bacterium"
"ASV_3141","d__Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter","Arcobacter_cryaerophilus"
"ASV_3142","d__Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Terrimicrobiaceae","Terrimicrobium","uncultured_bacterium"
"ASV_3143","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA
"ASV_3144","d__Archaea","Crenarchaeota","Bathyarchaeia","Bathyarchaeia","Bathyarchaeia","Bathyarchaeia","uncultured_euryarchaeote"
"ASV_3145","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3146","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3147","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Muricauda",NA
"ASV_3148","d__Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Sporichthyaceae","hgcI_clade",NA
"ASV_3149","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Polynucleobacter",NA
"ASV_3150","d__Archaea","Crenarchaeota","Bathyarchaeia","Bathyarchaeia","Bathyarchaeia","Bathyarchaeia","unidentified_archaeon"
"ASV_3151","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales",NA,NA,NA
"ASV_3152","d__Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadales","Saccharimonadales",NA
"ASV_3153","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3154","d__Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","uncultured","uncultured_Roseiflexus"
"ASV_3155","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Kaiserbacteria","Candidatus_Kaiserbacteria","Candidatus_Kaiserbacteria","metagenome"
"ASV_3156","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3157","d__Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Leptolinea","uncultured_eubacterium"
"ASV_3158","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA
"ASV_3159","d__Bacteria","Chloroflexi","Anaerolineae","RBG-13-54-9","RBG-13-54-9","RBG-13-54-9",NA
"ASV_3160","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia","Romboutsia_sedimentorum"
"ASV_3161","d__Bacteria","Cyanobacteria","Cyanobacteriia","Pseudanabaenales","Pseudanabaenaceae","Pseudanabaena_PCC-7429","Pseudanabaena_foetida"
"ASV_3162","d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingorhabdus",NA
"ASV_3163","d__Bacteria","Chloroflexi","Anaerolineae","ADurb.Bin180","ADurb.Bin180","ADurb.Bin180","uncultured_bacterium"
"ASV_3164","d__Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","uncultured","uncultured_bacterium"
"ASV_3165","d__Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Synechococcales_Incertae_Sedis","Schizothrix_LEGE_07164","uncultured_cyanobacterium"
"ASV_3166","d__Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","LD29","uncultured_bacterium"
"ASV_3167","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"ASV_3168","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3169","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia",NA
"ASV_3170","d__Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae",NA,NA
"ASV_3171","d__Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","uncultured","uncultured_organism"
"ASV_3172","d__Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","env.OPS_17","uncultured_bacterium"
"ASV_3173","d__Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Synechococcales_Incertae_Sedis","Schizothrix_LEGE_07164","uncultured_bacterium"
"ASV_3174","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"ASV_3175","d__Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","uncultured",NA
"ASV_3176","d__Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","UCG-004","uncultured_bacterium"
"ASV_3177","d__Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","S15A-MN91","S15A-MN91","uncultured_bacterium"
"ASV_3178","d__Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Vicinamibacteraceae",NA
"ASV_3179","d__Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Coleofasciculaceae","Potamolinea_1PC","Potamolinea_sp."
"ASV_3180","d__Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula","bacterium_enrichment"
"ASV_3181","d__Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Synechococcales_Incertae_Sedis","Schizothrix_LEGE_07164","uncultured_bacterium"
"ASV_3182","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"ASV_3183","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"ASV_3184","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia",NA
"ASV_3185","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","Roseimarinus","uncultured_bacterium"
"ASV_3186","d__Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylomicrobium","uncultured_bacterium"
"ASV_3187","d__Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Paludicola",NA
"ASV_3188","d__Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cytophagaceae","Sporocytophaga","uncultured_bacterium"
"ASV_3189","d__Bacteria","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","uncultured_soil"
"ASV_3190","d__Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","uncultured",NA
"ASV_3191","d__Bacteria","Bacteroidota","Kryptonia","Kryptoniales","MSB-3C8","MSB-3C8","uncultured_bacterium"
"ASV_3192","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes_vadinHA17","Bacteroidetes_vadinHA17",NA
"ASV_3193","d__Bacteria","Proteobacteria","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae","Candidatus_Captivus","uncultured_bacterium"
"ASV_3194","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3195","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3196","d__Bacteria","Planctomycetota","vadinHA49","vadinHA49","vadinHA49","vadinHA49","uncultured_bacterium"
"ASV_3197","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_Incertae_Sedis","uncultured",NA
"ASV_3198","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3199","d__Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","uncultured","uncultured_bacterium"
"ASV_3200","d__Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage","uncultured_Pirellula"
"ASV_3201","d__Bacteria","Chloroflexi","Dehalococcoidia","GIF9","GIF9","GIF9","uncultured_bacterium"
"ASV_3202","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Nomurabacteria","Candidatus_Nomurabacteria","Candidatus_Nomurabacteria","uncultured_bacterium"
"ASV_3203","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3204","d__Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","uncultured","uncultured_bacterium"
"ASV_3205","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","uncultured_Bacteroidetes"
"ASV_3206","d__Bacteria","Verrucomicrobiota","Verrucomicrobiae","S-BQ2-57_soil_group","S-BQ2-57_soil_group","S-BQ2-57_soil_group","uncultured_bacterium"
"ASV_3207","d__Bacteria","Bacteroidota","Kryptonia","Kryptoniales","BSV26","BSV26","uncultured_soil"
"ASV_3208","d__Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","uncultured",NA
"ASV_3209","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA
"ASV_3210","d__Bacteria","Bacteroidota","Kryptonia","Kryptoniales","BSV26","BSV26","uncultured_bacterium"
"ASV_3211","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales",NA,NA,NA
"ASV_3212","d__Bacteria","Planctomycetota","Phycisphaerae","MSBL9","SG8-4","SG8-4",NA
"ASV_3213","d__Bacteria","Proteobacteria","Gammaproteobacteria","Halothiobacillales","Halothiobacillaceae","Thiovirga",NA
"ASV_3214","d__Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Nocardia","Nocardia_takedensis"
"ASV_3215","d__Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","Gemmatimonas_phototrophica"
"ASV_3216","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3217","d__Bacteria","Firmicutes","Clostridia","Clostridia","Hungateiclostridiaceae","Ruminiclostridium",NA
"ASV_3218","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Dysgonomonas","uncultured_Bacteroidetes"
"ASV_3219","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","uncultured_bacterium"
"ASV_3220","d__Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula","bacterium_enrichment"
"ASV_3221","d__Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Oikopleura",NA
"ASV_3222","d__Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","IMCC26134",NA
"ASV_3223","d__Bacteria","Planctomycetota","OM190","OM190","OM190","OM190",NA
"ASV_3224","d__Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_1","Clostridium_colicanis"
"ASV_3225","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3226","d__Bacteria","Cyanobacteria","Cyanobacteriia","Oxyphotobacteria_Incertae_Sedis","Unknown_Family","uncultured","uncultured_bacterium"
"ASV_3227","d__Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA,NA
"ASV_3228","d__Bacteria","Patescibacteria","ABY1","Candidatus_Falkowbacteria","Candidatus_Falkowbacteria","Candidatus_Falkowbacteria","uncultured_bacterium"
"ASV_3229","d__Bacteria","Chloroflexi","JG30-KF-CM66","JG30-KF-CM66","JG30-KF-CM66","JG30-KF-CM66","uncultured_bacterium"
"ASV_3230","d__Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","CL500-29_marine_group","uncultured_actinobacterium"
"ASV_3231","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3232","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Amaricoccus",NA
"ASV_3233","d__Bacteria","Chloroflexi","Anaerolineae","SBR1031","SBR1031","SBR1031","uncultured_bacterium"
"ASV_3234","d__Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA
"ASV_3235","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA
"ASV_3236","d__Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","ADurb.Bin118","uncultured_bacterium"
"ASV_3237","d__Bacteria","Planctomycetota","OM190","OM190","OM190","OM190","uncultured_bacterium"
"ASV_3238","d__Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","uncultured","uncultured","uncultured_bacterium"
"ASV_3239","d__Bacteria","Cyanobacteria","Vampirivibrionia","Gastranaerophilales","Gastranaerophilales","Gastranaerophilales","Candidatus_Melainabacteria"
"ASV_3240","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA,NA
"ASV_3241","d__Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Phormidiaceae","Planktothrix_NIVA-CYA_15",NA
"ASV_3242","d__Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium",NA
"ASV_3243","d__Bacteria","Actinobacteriota","Actinobacteria","Frankiales",NA,NA,NA
"ASV_3244","d__Bacteria","Proteobacteria","Alphaproteobacteria","Holosporales","Holosporaceae","Holosporaceae","uncultured_bacterium"
"ASV_3245","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3246","d__Bacteria","Chloroflexi","Anaerolineae","MSB-5E12","MSB-5E12","MSB-5E12","uncultured_Chloroflexi"
"ASV_3247","d__Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae","TM7a","uncultured_bacterium"
"ASV_3248","d__Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","uncultured","uncultured_organism"
"ASV_3249","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes_vadinHA17","Bacteroidetes_vadinHA17",NA
"ASV_3250","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3251","d__Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Calothrix_PCC-6303","Calothrix_sp."
"ASV_3252","d__Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_1",NA
"ASV_3253","d__Bacteria","Actinobacteriota","Coriobacteriia","OPB41","OPB41","OPB41",NA
"ASV_3254","d__Bacteria","Firmicutes","Clostridia","Clostridia","Hungateiclostridiaceae","uncultured","uncultured_Ruminococcaceae"
"ASV_3255","d__Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Fimbriiglobus","uncultured_bacterium"
"ASV_3256","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3257","d__Bacteria","Proteobacteria","Alphaproteobacteria","Defluviicoccales","Defluviicoccaceae","Defluviicoccus","uncultured_bacterium"
"ASV_3258","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3259","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Tyzzerella","uncultured_Eubacteriaceae"
"ASV_3260","d__Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA,NA
"ASV_3261","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae","uncultured","uncultured_soil"
"ASV_3262","d__Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadales","Saccharimonadales","uncultured_bacterium"
"ASV_3263","d__Bacteria","Cyanobacteria","Vampirivibrionia","Gastranaerophilales","Gastranaerophilales","Gastranaerophilales","uncultured_organism"
"ASV_3264","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"ASV_3265","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3266","d__Bacteria","Chloroflexi","Dehalococcoidia","GIF9","AB-539-J10","SCGC-AB-539-J10",NA
"ASV_3267","d__Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA
"ASV_3268","d__Bacteria","Patescibacteria","Berkelbacteria","Berkelbacteria","Berkelbacteria","Berkelbacteria","uncultured_bacterium"
"ASV_3269","d__Bacteria","Patescibacteria","ABY1","Candidatus_Kerfeldbacteria","Candidatus_Kerfeldbacteria","Candidatus_Kerfeldbacteria","uncultured_bacterium"
"ASV_3270","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Moranbacteria","Candidatus_Moranbacteria","Candidatus_Moranbacteria","uncultured_soil"
"ASV_3271","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Dinghuibacter",NA
"ASV_3272","d__Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira",NA
"ASV_3273","d__Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Crenothrix","uncultured_bacterium"
"ASV_3274","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3275","d__Bacteria","Chloroflexi","Anaerolineae","SJA-15","SJA-15","SJA-15","uncultured_bacterium"
"ASV_3276","d__Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula","metagenome"
"ASV_3277","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3278","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia",NA
"ASV_3279","d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Moranbacteria","Candidatus_Moranbacteria","Candidatus_Moranbacteria","uncultured_bacterium"
"ASV_3280","d__Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcystaceae",NA,NA
"ASV_3281","d__Bacteria","Firmicutes","Bacilli","Mycoplasmatales","Mycoplasmataceae","Candidatus_Bacilloplasma","uncultured_Firmicutes"
"ASV_3282","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3283","d__Bacteria","Patescibacteria","WWE3","WWE3","WWE3","WWE3","uncultured_bacterium"
"ASV_3284","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Tyzzerella","uncultured_Clostridiales"
"ASV_3285","d__Bacteria","Firmicutes","Bacilli","Mycoplasmatales","Mycoplasmataceae","Candidatus_Bacilloplasma","uncultured_Firmicutes"
"ASV_3286","d__Bacteria","Armatimonadota","Fimbriimonadia","Fimbriimonadales","Fimbriimonadaceae","Fimbriimonadaceae","uncultured_Armatimonadetes"
"ASV_3287","d__Bacteria","Firmicutes","Bacilli","Entomoplasmatales","Entomoplasmatales_Incertae_Sedis","Candidatus_Hepatoplasma","Proasellus_rectus"
"ASV_3288","d__Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","uncultured","uncultured_Anaerolineaceae"
"ASV_3289","d__Bacteria","Myxococcota","bacteriap25","bacteriap25","bacteriap25","bacteriap25","uncultured_delta"
"ASV_3290","d__Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","uncultured","uncultured_prokaryote"
"ASV_3291","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae","Paludibacter","uncultured_bacterium"
"ASV_3292","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","SB-5","SB-5","uncultured_bacterium"
"ASV_3293","d__Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae",NA,NA
"ASV_3294","d__Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV_3295","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","MWH-UniP1_aquatic_group","MWH-UniP1_aquatic_group",NA
"ASV_3296","d__Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","uncultured","uncultured","uncultured_actinobacterium"
"ASV_3297","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudorhodobacter","uncultured_bacterium"
"ASV_3298","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3299","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"ASV_3300","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3301","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rubellimicrobium","uncultured_bacterium"
"ASV_3302","d__Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","uncultured","metagenome"
"ASV_3303","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia","Devosia_riboflavina"
"ASV_3304","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Tyzzerella","uncultured_Firmicutes"
"ASV_3305","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3306","d__Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula","uncultured_Planctomycetaceae"
"ASV_3307","d__Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas",NA
"ASV_3308","d__Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales",NA,NA,NA
