sample;lake;month;origin;lake_origin;replicate;samples
CRJ-B-PER-GUT3;CRJ1;B;PER;CRJ1_PER;GUT3;CRJ-B-PER-GUT3
CRJ-B-PER-GUT4;CRJ1;B;PER;CRJ1_PER;GUT4;CRJ-B-PER-GUT4
CRJ-B-PER-GUT5;CRJ1;B;PER;CRJ1_PER;GUT5;CRJ-B-PER-GUT5
CRJ-B-PER-GUT6;CRJ1;B;PER;CRJ1_PER;GUT6;CRJ-B-PER-GUT6
CRJ-B-PER-GUT7;CRJ1;B;PER;CRJ1_PER;GUT7;CRJ-B-PER-GUT7
CRJ-B-PER-GUT8;CRJ1;B;PER;CRJ1_PER;GUT8;CRJ-B-PER-GUT8
CRJ-B-PER-GUT9;CRJ1;B;PER;CRJ1_PER;GUT9;CRJ-B-PER-GUT9
CTL-B-GAR-GUT10;CTL;B;LEP;CTL_LEP;GUT10;CTL-B-GAR-GUT10
CTL-B-GAR-GUT1;CTL;B;LEP;CTL_LEP;GUT1;CTL-B-GAR-GUT1
CTL-B-GAR-GUT2;CTL;B;LEP;CTL_LEP;GUT2;CTL-B-GAR-GUT2
CTL-B-GAR-GUT3;CTL;B;LEP;CTL_LEP;GUT3;CTL-B-GAR-GUT3
CTL-B-GAR-GUT4;CTL;B;LEP;CTL_LEP;GUT4;CTL-B-GAR-GUT4
CTL-B-GAR-GUT5;CTL;B;LEP;CTL_LEP;GUT5;CTL-B-GAR-GUT5
CTL-B-GAR-GUT6;CTL;B;LEP;CTL_LEP;GUT6;CTL-B-GAR-GUT6
CTL-B-GAR-GUT7;CTL;B;LEP;CTL_LEP;GUT7;CTL-B-GAR-GUT7
CTL-B-GAR-GUT8;CTL;B;LEP;CTL_LEP;GUT8;CTL-B-GAR-GUT8
CTL-B-GAR-GUT9;CTL;B;LEP;CTL_LEP;GUT9;CTL-B-GAR-GUT9
CTL-B-PER-GUT10;CTL;B;PER;CTL_PER;GUT10;CTL-B-PER-GUT10
CTL-B-PER-GUT1;CTL;B;PER;CTL_PER;GUT1;CTL-B-PER-GUT1
CTL-B-PER-GUT2;CTL;B;PER;CTL_PER;GUT2;CTL-B-PER-GUT2
CTL-B-PER-GUT3;CTL;B;PER;CTL_PER;GUT3;CTL-B-PER-GUT3
CTL-B-PER-GUT4;CTL;B;PER;CTL_PER;GUT4;CTL-B-PER-GUT4
CTL-B-PER-GUT5;CTL;B;PER;CTL_PER;GUT5;CTL-B-PER-GUT5
CTL-B-PER-GUT6;CTL;B;PER;CTL_PER;GUT6;CTL-B-PER-GUT6
CTL-B-PER-GUT7;CTL;B;PER;CTL_PER;GUT7;CTL-B-PER-GUT7
CTL-B-PER-GUT8;CTL;B;PER;CTL_PER;GUT8;CTL-B-PER-GUT8
CTL-B-PER-GUT9;CTL;B;PER;CTL_PER;GUT9;CTL-B-PER-GUT9
